dataset,ir,model,condition,seed,ece,brier,auc,pr_auc,f1
pima,1.87,rf,E0_none,0,0.03402777777777777,0.16272008825231482,0.8199141791044775,0.6761372372366429,0.6153846153846154
pima,1.87,rf,E0_none,1,0.022569444444444454,0.16018862123842595,0.8247798507462685,0.6990831290152647,0.6482213438735178
pima,1.87,rf,E0_none,2,0.039203559027777786,0.16367811414930555,0.8151902985074627,0.6908447266532134,0.6390532544378699
pima,1.87,rf,E0_none,3,0.020941840277777797,0.16216670283564816,0.8210970149253732,0.6815944687784178,0.628
pima,1.87,rf,E0_none,4,0.033452690972222233,0.15813087745949075,0.8296380597014925,0.699407268788105,0.6468253968253969
pima,1.87,rf,E0_none,5,0.03255208333333334,0.16286964699074072,0.8202649253731343,0.6752487569780532,0.6411290322580645
pima,1.87,rf,E0_none,6,0.012033420138888872,0.16020589192708334,0.8260522388059702,0.6977609750342899,0.6361829025844931
pima,1.87,rf,E0_none,7,0.03026258680555556,0.15881989655671294,0.826339552238806,0.703215090409829,0.6575342465753424
pima,1.87,rf,E0_none,8,0.0453667534722222,0.16142695674189814,0.8234850746268657,0.6778612648078814,0.6438631790744467
pima,1.87,rf,E0_none,9,0.03068576388888887,0.16628978587962964,0.8116194029850747,0.6701751109852834,0.6257425742574257
pima,1.87,rf,E1_smote,0,0.05028211805555558,0.16577130353009262,0.8201529850746269,0.6687467811927709,0.6473779385171791
pima,1.87,rf,E1_smote,1,0.05311414930555556,0.16615152994791668,0.8196828358208955,0.686283191974837,0.6607460035523979
pima,1.87,rf,E1_smote,2,0.04900173611111109,0.16494484230324072,0.820891791044776,0.6928967178970227,0.6654929577464789
pima,1.87,rf,E1_smote,3,0.05542534722222224,0.1670064742476852,0.8178992537313432,0.671442447968207,0.6642599277978339
pima,1.87,rf,E1_smote,4,0.05192057291666667,0.1635569480613426,0.825108208955224,0.6849645519105727,0.6714542190305206
pima,1.87,rf,E1_smote,5,0.05015190972222224,0.16939814814814813,0.8108283582089553,0.6507344038374895,0.6666666666666666
pima,1.87,rf,E1_smote,6,0.04571397569444442,0.1669335033275463,0.8171902985074626,0.6769459619682511,0.6545454545454545
pima,1.87,rf,E1_smote,7,0.04898003472222224,0.16299442997685185,0.8235,0.7011299605388627,0.6678765880217786
pima,1.87,rf,E1_smote,8,0.044813368055555546,0.16833676938657408,0.8141044776119404,0.6676124130756176,0.6438848920863309
pima,1.87,rf,E1_smote,9,0.056011284722222235,0.171260669849537,0.8075298507462687,0.6659315773961434,0.6499102333931778
pima,1.87,rf,E1_ros,0,0.03479817708333333,0.16445990668402777,0.8193619402985074,0.6660747602426699,0.6541353383458647
pima,1.87,rf,E1_ros,1,0.033192274305555595,0.16443531177662038,0.8191977611940299,0.6762081621650854,0.6492537313432836
pima,1.87,rf,E1_ros,2,0.04787326388888888,0.1606987847222222,0.8255037313432836,0.7028091614895645,0.674074074074074
pima,1.87,rf,E1_ros,3,0.03189019097222223,0.16608931929976853,0.81525,0.6687824051694204,0.6445672191528545
pima,1.87,rf,E1_ros,4,0.055349392361111124,0.16139313874421296,0.825276119402985,0.6945027967596065,0.6836363636363636
pima,1.87,rf,E1_ros,5,0.03319227430555556,0.16320357711226852,0.8210671641791045,0.6803138170716,0.6593001841620626
pima,1.87,rf,E1_ros,6,0.03555772569444445,0.16396945529513887,0.8195932835820895,0.6907889325679584,0.6458715596330276
pima,1.87,rf,E1_ros,7,0.03717447916666666,0.1638009982638889,0.8182873134328359,0.6900468129218532,0.651685393258427
pima,1.87,rf,E1_ros,8,0.039420572916666646,0.16234926576967593,0.8235074626865673,0.6821039642111056,0.6428571428571429
pima,1.87,rf,E1_ros,9,0.0372829861111111,0.16732638888888887,0.8134104477611941,0.6709029124763326,0.6480446927374302
pima,1.87,rf,E1_rus,0,0.09983723958333332,0.17918013961226853,0.8077201492537315,0.6492603966981555,0.6710526315789473
pima,1.87,rf,E1_rus,1,0.10402560763888889,0.17258617259837963,0.8224029850746268,0.672181401063873,0.6862745098039216
pima,1.87,rf,E1_rus,2,0.10523003472222223,0.17411657262731484,0.8220820895522388,0.6987850589940633,0.6600331674958541
pima,1.87,rf,E1_rus,3,0.10194227430555558,0.17753481264467594,0.8132910447761195,0.6659167785114029,0.6804451510333863
pima,1.87,rf,E1_rus,4,0.10148654513888887,0.16864339192708333,0.8324141791044777,0.6986427453175962,0.6841243862520459
pima,1.87,rf,E1_rus,5,0.10047743055555557,0.1742283347800926,0.8193992537313433,0.6891955604610167,0.6818181818181818
pima,1.87,rf,E1_rus,6,0.10913628472222223,0.1786915870949074,0.8139477611940298,0.6800766038558049,0.6517571884984026
pima,1.87,rf,E1_rus,7,0.09546440972222223,0.1697925708912037,0.827544776119403,0.7033825997152787,0.6732348111658456
pima,1.87,rf,E1_rus,8,0.09595269097222223,0.17024206090856484,0.8262835820895522,0.6906132895150663,0.684297520661157
pima,1.87,rf,E1_rus,9,0.09802517361111111,0.17573585792824073,0.8138544776119403,0.6832414333661608,0.6589403973509934
pima,1.87,rf,E2_cw,0,0.039105902777777764,0.1628202763310185,0.8213470149253731,0.6809932494835367,0.6184738955823293
pima,1.87,rf,E2_cw,1,0.03401692708333334,0.16177906177662035,0.8228320895522387,0.6913102819157158,0.6374501992031872
pima,1.87,rf,E2_cw,2,0.02056206597222222,0.16128571686921295,0.8221194029850746,0.6941039371514953,0.6206896551724138
pima,1.87,rf,E2_cw,3,0.03471137152777779,0.16598714192708333,0.8132574626865672,0.6731796923168054,0.6184738955823293
pima,1.87,rf,E2_cw,4,0.03269314236111111,0.15691216362847224,0.8329440298507462,0.6984537217653559,0.6706586826347305
pima,1.87,rf,E2_cw,5,0.03802083333333332,0.16302915219907407,0.8193694029850747,0.6833634146394619,0.631578947368421
pima,1.87,rf,E2_cw,6,0.03649088541666666,0.16255488642939817,0.8203208955223881,0.6869108270778675,0.6290322580645161
pima,1.87,rf,E2_cw,7,0.021343315972222263,0.16217619719328702,0.8199477611940299,0.6901020653671068,0.6387225548902196
pima,1.87,rf,E2_cw,8,0.03784722222222222,0.16343478732638886,0.8195410447761193,0.6715760099436252,0.625
pima,1.87,rf,E2_cw,9,0.039040798611111115,0.1627681929976852,0.8192089552238806,0.6860160130339412,0.6343434343434343
pima,1.87,rf,E3_smote_platt,0,0.03824442495446305,0.17108709584125115,0.8043283582089553,0.6580375555581752,0.5979381443298969
pima,1.87,rf,E3_smote_platt,1,0.03473268824981637,0.16496873304852205,0.8152798507462686,0.673216769410131,0.6629213483146067
pima,1.87,rf,E3_smote_platt,2,0.04192417618230582,0.16490940427978765,0.8129179104477612,0.6796178492246867,0.6338582677165354
pima,1.87,rf,E3_smote_platt,3,0.05232062736482898,0.17099021433860626,0.8049701492537313,0.6253898557282777,0.6135458167330677
pima,1.87,rf,E3_smote_platt,4,0.024316115799084752,0.16495111157248524,0.8142798507462686,0.6746253474496894,0.6459143968871596
pima,1.87,rf,E3_smote_platt,5,0.05569619132765705,0.17116391576833204,0.8045485074626866,0.6530503488783742,0.570230607966457
pima,1.87,rf,E3_smote_platt,6,0.032934098682933455,0.1690580539505994,0.8072910447761195,0.6651683697662087,0.6407766990291263
pima,1.87,rf,E3_smote_platt,7,0.02972515239805843,0.1619433499954519,0.8242611940298508,0.6862335936677044,0.6209677419354839
pima,1.87,rf,E3_smote_platt,8,0.03825031981530164,0.17170554177652209,0.8038805970149254,0.6385573716165951,0.6003976143141153
pima,1.87,rf,E3_smote_platt,9,0.034870329014164994,0.1664355935360616,0.8132276119402986,0.6700946092261079,0.6254826254826255
pima,1.87,rf,E3_smote_iso,0,0.048891829851785,0.17263283239282634,0.8025111940298507,0.6511418491002849,0.633147113594041
pima,1.87,rf,E3_smote_iso,1,0.04945616480984131,0.17144838927727077,0.8030970149253731,0.6681116457496188,0.6136363636363636
pima,1.87,rf,E3_smote_iso,2,0.05014668662453269,0.16885485284141674,0.8055970149253733,0.662744586217396,0.6725978647686833
pima,1.87,rf,E3_smote_iso,3,0.06115944303046063,0.1775772134188469,0.7968395522388059,0.6170287839734098,0.5976095617529881
pima,1.87,rf,E3_smote_iso,4,0.03223566781856613,0.16778413869559702,0.810160447761194,0.6592164423552366,0.6460348162475822
pima,1.87,rf,E3_smote_iso,5,0.03705419464855914,0.17353428122114156,0.8017686567164178,0.635554480289365,0.6312056737588653
pima,1.87,rf,E3_smote_iso,6,0.06731867371120918,0.17208412865470354,0.8062723880597015,0.6551548361016212,0.6517690875232774
pima,1.87,rf,E3_smote_iso,7,0.03176343024259877,0.16439632147335934,0.8155261194029851,0.6664812431415839,0.6480446927374302
pima,1.87,rf,E3_smote_iso,8,0.04154279923712718,0.1748817096566185,0.7985970149253732,0.6203644494715207,0.6234234234234234
pima,1.87,rf,E3_smote_iso,9,0.03933028937218851,0.17280728738792117,0.8048843283582089,0.6388948712716956,0.6168582375478927
pima,1.87,histgb,E0_none,0,0.18411784162070388,0.21627971640963328,0.7856119402985074,0.6402452030302137,0.6027397260273972
pima,1.87,histgb,E0_none,1,0.19265157561066543,0.2181006300889461,0.789582089552239,0.6305266204391098,0.581888246628131
pima,1.87,histgb,E0_none,2,0.19365129177621015,0.22033579768964184,0.7852910447761193,0.6437463330085597,0.5962264150943396
pima,1.87,histgb,E0_none,3,0.17698570400370345,0.21461575090748886,0.789134328358209,0.6353364460769427,0.6212121212121212
pima,1.87,histgb,E0_none,4,0.18123574739514509,0.2097975804656768,0.7996119402985077,0.6509889407663072,0.6153846153846154
pima,1.87,histgb,E0_none,5,0.18275574173109294,0.21133079277195824,0.7890671641791046,0.6327209275505358,0.6127167630057804
pima,1.87,histgb,E0_none,6,0.18286101977464636,0.21544804419696784,0.7919850746268656,0.6325914281400218,0.6026871401151631
