dataset,ir,rho,seed,ece,brier,auc,pr_auc,f1
pima,1.87,0.0,0,0.18411784162070388,0.21627971640963328,0.7856119402985074,0.6402452030302137,0.6027397260273972
pima,1.87,0.0,1,0.19265157561066543,0.2181006300889461,0.789582089552239,0.6305266204391098,0.581888246628131
pima,1.87,0.0,2,0.19365129177621015,0.22033579768964184,0.7852910447761193,0.6437463330085597,0.5962264150943396
pima,1.87,0.0,3,0.17698570400370345,0.21461575090748886,0.789134328358209,0.6353364460769427,0.6212121212121212
pima,1.87,0.0,4,0.18123574739514509,0.2097975804656768,0.7996119402985077,0.6509889407663072,0.6153846153846154
pima,1.87,0.0,5,0.18275574173109294,0.21133079277195824,0.7890671641791046,0.6327209275505358,0.6127167630057804
pima,1.87,0.0,6,0.18286101977464636,0.21544804419696784,0.7919850746268656,0.6325914281400218,0.6026871401151631
pima,1.87,0.0,7,0.17979918692959934,0.21054114267731858,0.7878059701492538,0.6351824061376783,0.6097087378640776
pima,1.87,0.0,8,0.17996460747538523,0.2142438268366064,0.7894328358208955,0.618791905977157,0.6174757281553398
pima,1.87,0.0,9,0.19670135497437097,0.22748571202589932,0.7739253731343284,0.6125965177116548,0.6022727272727273
pima,1.87,0.25,0,0.17456395947160075,0.21060260203227213,0.7959402985074627,0.6480324465052656,0.6162790697674418
pima,1.87,0.25,1,0.18961346994801886,0.22290956451566016,0.7882686567164179,0.628073391666795,0.6052631578947368
pima,1.87,0.25,2,0.19826472922880298,0.21891161442078833,0.7909253731343284,0.653194671259099,0.5962264150943396
pima,1.87,0.25,3,0.18744530636904788,0.21891321297748398,0.7904328358208956,0.6336938249195452,0.6259259259259259
pima,1.87,0.25,4,0.17826474988538327,0.20858423699128867,0.8038283582089552,0.6590989837640882,0.6299810246679317
pima,1.87,0.25,5,0.19408762639080757,0.22165568725387255,0.7856492537313433,0.6361385889540828,0.6156648451730419
pima,1.87,0.25,6,0.18205642576815062,0.21744479914680112,0.7900373134328359,0.6292316280466465,0.6041275797373359
pima,1.87,0.25,7,0.18598728746197504,0.213125239634647,0.7893283582089552,0.643110124730969,0.6049149338374291
pima,1.87,0.25,8,0.17732399046053626,0.20736263630523646,0.7997014925373136,0.6422609284293621,0.6118546845124283
